Linux 6.8.0-49-generic (samoy-pc) 	12/09/2024 	_x86_64_	(12 CPU)

01:40:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:44:12 PM  all   14.64    0.00    3.68   10.79    0.00    0.09    0.00    0.00    0.00   70.80
01:44:13 PM  all   16.35    0.00    4.00   10.14    0.00    0.09    0.00    0.00    0.00   69.42
01:44:14 PM  all   13.60    0.00    3.17   10.35    0.00    0.09    0.00    0.00    0.00   72.80
01:44:15 PM  all   13.88    0.00    3.51   10.63    0.00    0.17    0.00    0.00    0.00   71.81
01:44:16 PM  all   13.38    0.00    3.77   10.72    0.00    0.17    0.00    0.00    0.00   71.96
01:44:17 PM  all   14.91    0.00    3.43   10.80    0.00    0.09    0.00    0.00    0.00   70.78
01:44:18 PM  all   14.18    0.00    3.65   10.70    0.00    0.25    0.00    0.00    0.00   71.22
01:44:19 PM  all   15.21    0.00    3.91    9.94    0.00    0.42    0.00    0.00    0.00   70.52
01:44:20 PM  all   16.98    0.00    5.69   10.78    0.00    0.00    0.00    0.00    0.00   66.55
01:44:21 PM  all   17.09    0.00    5.21   10.51    0.00    0.26    0.00    0.00    0.00   66.92
01:44:22 PM  all   13.78    0.00    4.39   10.08    0.00    0.43    0.00    0.00    0.00   71.32
01:44:23 PM  all   14.27    0.00    4.47   10.06    0.00    0.17    0.00    0.00    0.00   71.02
01:44:24 PM  all   15.46    0.00    5.10   10.20    0.00    0.08    0.00    0.00    0.00   69.16
01:44:25 PM  all   17.17    0.00    5.15   10.21    0.00    0.09    0.00    0.00    0.00   67.38
01:44:26 PM  all   13.05    0.00    3.84   11.09    0.00    0.17    0.00    0.00    0.00   71.84
01:44:27 PM  all   17.87    0.00    6.27   10.14    0.00    0.09    0.00    0.00    0.00   65.64
01:44:28 PM  all   17.78    0.00    4.87   11.28    0.00    0.17    0.00    0.00    0.00   65.90
01:44:29 PM  all   14.86    0.00    4.18   10.33    0.00    0.17    0.00    0.00    0.00   70.45
01:44:30 PM  all   12.53    0.00    3.78   11.50    0.00    0.17    0.00    0.00    0.00   72.02
01:44:31 PM  all   13.62    0.00    3.17   11.14    0.00    0.26    0.00    0.00    0.00   71.81
01:44:32 PM  all   15.18    0.00    4.83   10.60    0.00    0.34    0.00    0.00    0.00   69.04
01:44:33 PM  all   14.36    0.00    4.42   11.05    0.00    0.17    0.00    0.00    0.00   70.01
01:44:34 PM  all   20.77    0.00    6.61   10.21    0.00    0.17    0.00    0.00    0.00   62.23
01:44:35 PM  all   13.71    0.00    3.98    9.73    0.00    0.17    0.00    0.00    0.00   72.42
01:44:36 PM  all   15.24    0.00    4.11   10.19    0.00    0.34    0.00    0.00    0.00   70.12
01:44:37 PM  all   18.83    0.00    5.70    8.81    0.00    0.09    0.00    0.00    0.00   66.58
